Date,Monthly Curve
Apr-2024,33.15
May-2024,36.10
Jun-2024,40.90
Jul-2024,61.10
Aug-2024,53.05
Sep-2024,43.75
Oct-2024,41.45
Nov-2024,41.40
Dec-2024,46.45
Jan-2025,57.65
Feb-2025,48.55
Mar-2025,42.55
Apr-2025,41.50
May-2025,43.95
Jun-2025,48.30
Jul-2025,64.90
Aug-2025,59.80
Sep-2025,49.55
Oct-2025,46.15
Nov-2025,47.25
Dec-2025,51.45
Jan-2026,63.60
Feb-2026,52.90
Mar-2026,45.60
Apr-2026,43.40
May-2026,45.05
Jun-2026,50.80
Jul-2026,70.35
Aug-2026,62.85
Sep-2026,52.30
Oct-2026,48.40
Nov-2026,48.80
Dec-2026,55.10
Jan-2027,61.75
Feb-2027,55.40
Mar-2027,48.00
Apr-2027,44.35
May-2027,46.10
Jun-2027,50.05
Jul-2027,71.05
Aug-2027,64.25
Sep-2027,49.75
Oct-2027,45.15
Nov-2027,47.60
Dec-2027,57.45
Jan-2028,68.25
Feb-2028,61.65
Mar-2028,49.65
Apr-2028,45.75
May-2028,47.55
Jun-2028,51.45
Jul-2028,68.75
Aug-2028,62.85
Sep-2028,50.90
Oct-2028,46.10
Nov-2028,49.05
Dec-2028,59.70
Jan-2029,67.95
Feb-2029,61.85
Mar-2029,49.80
Apr-2029,45.55
May-2029,47.80
Jun-2029,51.60
Jul-2029,69.20
Aug-2029,63.40
Sep-2029,50.90
Oct-2029,46.00
Nov-2029,49.35
Dec-2029,60.05
Jan-2030,68.40
Feb-2030,62.20
Mar-2030,49.95
Apr-2030,45.95
May-2030,47.95
Jun-2030,51.85
Jul-2030,69.55
Aug-2030,63.40
Sep-2030,51.00
Oct-2030,46.40
Nov-2030,49.40
Dec-2030,60.25
Jan-2031,71.25
Feb-2031,64.90
Mar-2031,52.00
